Brand,Model,Year,Mileage,Engine_Size,Price
Toyota,Avanza,2023,5000,1.5,260000000
Toyota,Innova Zenix,2024,1000,2.0,470000000
Toyota,Rush,2022,25000,1.5,275000000
Toyota,Fortuner,2021,35000,2.8,550000000
Honda,Brio Satya,2023,8000,1.2,180000000
Honda,HR-V,2024,2000,1.5,420000000
Honda,CR-V,2021,30000,2.0,480000000
Honda,Civic,2020,45000,1.5,380000000
Mitsubishi,Xpander,2023,10000,1.5,285000000
Mitsubishi,Pajero Sport,2022,20000,2.4,520000000
Suzuki,Ertiga,2022,18000,1.5,230000000
Suzuki,XL7,2023,7000,1.5,265000000
Nissan,Kicks e-POWER,2022,12000,1.2,350000000
Nissan,Livina,2020,40000,1.5,200000000
Hyundai,Creta,2024,3000,1.5,370000000
Hyundai,Stargazer,2023,6000,1.5,270000000
Hyundai,Ioniq 5,2023,8000,0.0,780000000
BMW,3 Series,2023,5000,2.0,850000000
BMW,X5,2022,15000,3.0,1100000000
Mercedes-Benz,C-Class,2023,4000,1.5,900000000
Mercedes-Benz,E-Class,2022,10000,2.0,1200000000
Wuling,Air EV,2023,3000,0.0,200000000
Wuling,Almaz RS,2022,10000,1.5,350000000
Chery,OMODA 5,2023,5000,1.5,380000000
Toyota,Avanza,2018,85000,1.3,165000000
Toyota,Kijang Innova,2017,110000,2.4,220000000
Honda,Jazz,2019,60000,1.5,210000000
Mitsubishi,Xpander,2019,70000,1.5,205000000
BMW,320i,2015,90000,2.0,350000000
Mercedes-Benz,C200,2016,80000,2.0,400000000
Suzuki,Jimny,2021,15000,1.5,420000000
Hyundai,Creta,2022,20000,1.5,320000000
Wuling,Confero,2019,55000,1.5,120000000
Nissan,Juke,2015,120000,1.5,130000000
Toyota,Corolla Altis,2020,40000,1.8,350000000
Honda,City Hatchback,2022,10000,1.5,300000000
Mitsubishi,Triton,2021,45000,2.4,380000000
Suzuki,Ignis,2018,70000,1.2,125000000
Hyundai,Palisade,2023,8000,2.2,750000000
BMW,X3,2021,20000,2.0,750000000
Mercedes-Benz,GLC 300,2021,18000,2.0,800000000
Toyota,Veloz,2023,4000,1.5,290000000
Honda,WR-V,2024,1500,1.5,295000000
Chery,Tiggo 8 Pro,2023,6000,2.0,480000000
